Country,Internet_use,energy_eff,reduce_energy,confident_energy,coal_energy,natural_gas,hydroelectric,nuclear,solar,wind,biomass,worried_expensive,worried_fossil,worried_disaster,worried_insufpower,worried_techfail,climate_change,climatechng_thoughts,clmthgt2,ccnthum,personal_resp,worried_cc,cc_good_bad,reduce_cc,largeno_limitenergy,govt_reducecc,reduce_ownuse,favour_taxff,favour_subsidiseRE,ban_appliance,gender,age,marriage,highest_education,household_income,father_education,mother_education,care_environment
AT,5,8,4,3,4,5,1,5,2,1,1,5,3,1,2,2,1,6,3,3,8,4,3,3,4,5,3,5,2,2,2,61,4,322,2,322,322,2
AT,1,5,2,2,5,5,1,5,1,1,2,1,1,2,1,1,3,6,1,2,2,1,2,0,3,1,2,5,5,3,2,999,4,322,8,212,113,5
AT,5,10,3,4,55,55,1,55,1,1,3,2,1,3,1,3,1,6,3,4,1,2,4,5,4,0,3,3,2,2,1,47,66,710,6,322,212,3
AT,4,7,5,7,3,2,5,1,1,2,2,3,3,3,3,2,2,6,3,3,7,3,8,5,6,4,6,3,4,1,2,40,6,322,5,322,322,2
AT,4,6,4,7,2,3,2,4,3,3,2,3,3,2,3,3,3,6,3,2,7,3,8,6,6,7,8,2,3,4,1,45,66,322,6,212,322,2
AT,5,10,3,5,4,4,1,5,1,1,4,4,3,2,3,2,2,6,2,3,5,3,2,2,2,3,1,8,8,8,2,28,66,212,5,8888,8888,2
AT,5,10,6,10,4,4,5,5,1,1,1,3,3,1,1,1,1,6,4,5,10,3,0,6,4,7,8,2,1,1,2,46,4,322,3,322,212,1
AT,5,6,5,8,3,3,1,5,1,1,3,3,3,2,2,2,1,6,4,3,8,4,3,7,5,7,7,2,1,3,2,24,6,423,4,423,322,1
AT,1,10,3,5,4,3,2,5,1,1,2,2,3,1,1,1,3,6,2,3,2,3,2,7,6,6,5,2,2,2,1,80,5,322,4,113,113,2
AT,5,10,6,4,5,4,1,5,1,1,3,3,3,1,1,1,1,6,5,4,10,4,7,10,5,4,8,2,1,2,2,46,66,610,8,212,610,2
AT,2,10,6,8,5,5,1,5,1,1,1,4,5,5,5,5,1,6,5,4,10,5,0,10,1,1,8,5,1,2,2,55,6,322,2,113,113,1
AT,4,7,3,6,5,4,2,5,2,2,3,4,4,2,3,2,2,6,3,3,5,3,3,4,5,3,5,3,2,2,1,61,66,322,77,322,212,4
AT,5,6,3,8,3,3,1,5,1,1,5,1,1,1,2,2,2,6,2,5,6,2,5,7,7,6,7,2,2,1,2,39,4,322,88,212,322,3
AT,5,9,2,2,4,5,3,5,1,1,2,2,3,2,2,3,1,6,4,4,8,4,4,3,3,3,4,5,1,2,1,42,66,313,5,322,212,1
AT,3,8,6,6,5,4,1,5,1,1,1,3,3,3,2,3,1,6,4,4,10,3,3,6,6,5,6,2,1,1,2,65,66,322,6,322,212,3
AT,1,5,2,88,5,88,2,5,2,2,88,4,3,2,1,2,2,6,2,4,88,2,88,88,88,88,88,4,3,3,2,77,66,322,3,322,212,4
AT,5,8,4,8,4,4,2,5,2,1,4,2,2,3,3,3,2,6,3,4,5,3,2,7,7,7,7,2,1,1,1,18,6,322,9,322,322,3
AT,4,7,5,7,5,3,2,5,1,1,3,3,4,4,2,3,1,6,4,4,8,4,2,7,4,3,6,1,1,1,1,56,66,322,9,313,322,1
AT,5,6,3,3,4,4,1,5,1,1,88,2,2,2,1,2,2,6,2,3,5,2,6,4,3,2,2,3,3,3,1,23,6,212,77,212,212,4
AT,2,10,5,10,88,88,2,5,1,1,2,2,3,3,1,3,2,6,3,3,7,3,7,7,1,4,6,2,1,2,2,52,66,322,77,212,212,1
AT,5,10,5,6,4,4,2,5,1,1,2,3,3,2,2,2,1,6,5,3,8,3,4,10,4,5,8,4,1,1,1,55,66,720,7,322,212,2
AT,1,8,3,6,5,5,1,5,1,1,3,2,1,4,1,1,2,6,2,4,6,4,2,7,5,6,6,1,1,1,2,75,5,212,7,113,113,1
AT,5,9,4,6,5,4,1,5,2,2,88,1,2,2,1,2,4,2,6,66,66,6,66,66,66,66,66,5,1,8,1,23,6,423,4,313,322,3
AT,2,9,3,6,5,4,2,5,3,3,4,2,2,2,1,1,2,6,3,4,6,2,7,7,7,5,5,4,3,2,1,76,66,322,3,322,212,2
AT,5,9,5,8,4,3,1,5,1,2,2,2,2,2,2,2,1,6,3,4,7,3,4,3,3,3,1,4,2,4,2,59,66,322,8,212,212,2
AT,4,7,4,6,5,4,1,5,1,1,2,3,2,3,1,2,1,6,2,3,5,3,2,5,7,7,5,2,1,1,2,49,66,422,77,322,212,1
AT,1,7,4,2,5,5,1,5,1,5,1,4,4,3,4,3,2,6,3,3,3,3,2,6,3,4,5,3,3,1,2,70,66,322,4,322,212,2
AT,3,7,4,8,88,88,2,88,2,88,88,3,3,2,2,2,2,6,3,2,88,3,88,6,88,88,5,3,2,2,2,32,66,212,88,212,212,3
AT,5,9,4,7,4,2,2,77,1,1,1,1,1,1,1,1,2,6,3,5,8,3,8,5,7,6,6,2,2,1,2,64,4,322,88,322,313,2
AT,4,8,3,4,4,4,1,88,4,5,3,4,3,1,1,1,3,6,3,2,5,2,4,5,5,2,88,5,4,3,1,31,66,520,77,520,322,3
AT,5,8,6,8,5,5,1,5,1,1,2,1,1,3,3,3,2,6,1,4,8,4,7,8,6,8,7,2,3,3,2,26,6,322,3,322,322,3
AT,1,10,2,5,3,3,1,4,1,3,5,3,2,1,1,1,8,6,1,55,66,6,66,66,66,66,66,4,1,1,1,65,66,322,77,322,212,1
AT,5,9,3,4,4,3,1,5,1,2,3,1,3,1,1,2,1,6,2,4,5,2,4,6,88,3,5,4,1,2,2,23,6,322,6,322,322,2
AT,1,8,4,7,5,4,1,5,1,1,2,3,3,3,2,2,1,6,3,3,7,3,3,5,5,4,5,4,1,2,1,70,66,212,2,212,212,2
AT,4,8,4,6,4,3,1,5,4,5,3,2,3,1,1,1,3,6,3,55,66,6,66,66,66,66,66,5,5,4,1,58,66,720,9,322,322,3
AT,5,8,6,2,4,4,3,5,3,3,3,1,1,2,2,2,1,6,2,4,7,2,1,8,1,3,2,8,8,8,1,38,66,212,1,113,113,2
AT,5,0,2,2,4,3,1,4,1,1,5,2,1,2,2,2,2,6,1,4,0,3,0,0,0,0,0,5,3,2,1,19,66,322,77,322,113,2
AT,5,10,5,10,4,4,2,5,2,2,3,3,2,2,2,2,1,6,4,4,9,4,2,8,6,6,6,2,1,2,2,61,66,800,77,423,423,2
AT,5,8,4,5,4,4,2,5,2,3,3,2,2,2,2,2,2,6,3,3,6,3,4,5,2,4,4,3,3,2,1,61,6,720,6,800,800,2
AT,1,9,5,7,5,4,2,5,2,3,4,3,3,2,2,2,2,6,3,3,7,3,4,6,6,6,6,4,2,2,1,74,66,322,6,322,212,2
AT,5,8,6,7,5,4,3,5,2,2,2,2,8,2,2,2,1,6,3,4,10,4,2,7,4,4,10,2,1,1,2,28,6,620,5,720,720,1
AT,5,0,1,0,5,5,1,5,1,1,1,1,4,1,1,1,1,6,5,5,0,1,0,0,3,2,4,5,2,1,1,49,4,212,77,322,322,4
AT,5,9,6,7,5,3,1,5,2,2,2,3,3,2,1,2,2,6,4,3,6,3,4,7,5,5,5,5,1,2,1,42,4,423,8,212,212,2
AT,5,0,1,0,88,88,1,5,1,1,3,1,1,1,1,1,2,6,1,2,5,3,7,8,2,10,8,5,1,5,2,21,6,322,2,322,322,3
AT,5,8,3,5,5,5,1,5,1,1,1,1,1,3,1,1,3,6,1,4,6,1,4,6,5,7,7,3,2,2,2,27,6,322,5,322,322,3
AT,3,9,4,4,5,5,1,5,1,2,5,3,3,3,2,3,2,6,3,3,6,3,3,5,4,4,2,4,2,2,1,66,66,322,77,322,212,2
AT,1,8,4,5,2,3,2,5,2,2,2,5,5,1,2,2,2,6,3,2,5,3,5,88,88,8,3,4,3,2,2,65,66,113,5,113,113,2
AT,5,8,3,7,4,4,4,4,4,4,4,2,3,2,3,2,2,6,2,2,3,3,3,5,6,7,7,4,2,2,2,49,66,423,6,322,322,2
AT,5,8,3,0,4,4,1,5,1,3,3,3,2,1,1,2,2,6,2,4,0,3,88,10,0,5,5,4,1,4,2,18,6,212,88,322,322,3
AT,3,88,3,5,4,4,1,5,1,1,2,2,2,3,1,1,1,6,3,2,1,2,4,4,5,5,5,3,1,2,2,55,2,610,7,322,212,3
AT,5,8,3,8,5,4,2,5,2,2,2,3,2,2,2,2,2,6,3,4,8,3,5,6,3,3,6,2,1,4,2,55,66,520,8,322,322,2
AT,1,10,3,2,5,5,1,5,1,1,1,1,1,3,1,3,2,6,3,3,2,3,0,10,0,4,0,4,1,1,2,68,66,212,3,212,212,3
AT,5,8,6,7,4,2,1,5,1,1,1,4,3,2,2,2,1,6,5,4,10,5,0,8,3,4,8,5,1,1,2,62,4,212,1,322,322,1
AT,4,8,4,6,5,4,1,5,1,1,4,3,2,3,2,3,1,6,4,4,7,4,2,7,2,3,7,2,2,2,2,73,4,520,4,322,322,1
AT,5,10,4,9,5,5,1,5,1,1,5,1,1,1,1,1,1,6,5,3,10,3,0,0,0,5,8,5,2,5,1,48,66,313,77,322,212,1
AT,5,6,4,5,1,5,1,5,1,1,1,1,1,1,1,1,2,6,1,4,6,3,1,3,4,4,2,3,3,3,1,27,1,322,5,322,322,3
AT,1,5,3,3,88,88,88,88,2,2,88,3,8,2,8,8,2,6,2,88,4,2,88,3,2,88,88,5,4,4,2,74,5,113,77,322,113,3
AT,5,8,3,7,5,5,1,5,1,1,2,2,1,3,1,1,2,6,2,3,6,3,3,5,4,5,5,2,2,4,1,23,6,322,2,322,322,2
AT,3,7,3,6,5,5,2,2,2,2,2,3,3,2,2,2,2,6,3,4,4,3,7,7,7,5,7,2,2,2,2,52,66,322,77,322,322,3
AT,1,7,3,6,88,88,1,55,1,1,1,2,2,2,1,3,2,6,3,4,88,2,4,6,6,5,4,4,1,1,2,58,6,212,2,113,113,4
AT,5,8,5,2,5,5,1,5,1,1,3,2,3,2,2,2,1,6,5,1,0,1,10,0,2,1,0,2,3,4,1,23,6,423,7,520,422,2
AT,4,7,2,6,5,4,2,5,1,1,2,2,3,3,3,3,1,6,2,4,4,3,2,6,7,4,6,2,4,2,1,35,66,322,8,212,113,1
AT,5,6,2,88,4,88,1,5,2,2,88,2,2,2,2,2,2,6,3,4,88,3,0,88,88,88,88,3,3,3,2,35,4,322,77,212,212,4
AT,5,10,2,7,3,2,2,3,3,3,1,4,8,2,2,2,1,6,3,4,7,3,88,7,7,7,7,2,1,1,2,31,66,212,9,322,322,2
AT,5,7,3,8,5,5,1,5,1,1,1,1,1,1,1,1,2,6,2,3,3,1,5,7,5,7,6,3,3,3,2,24,6,322,2,322,322,1
AT,3,88,3,5,4,4,1,5,2,2,3,3,1,2,1,2,3,6,1,5,0,1,88,3,3,3,1,5,4,2,2,39,4,113,1,113,113,8
AT,3,9,4,2,5,3,2,5,1,2,3,3,3,2,1,2,1,6,5,4,4,3,6,3,6,2,5,5,2,3,2,77,5,720,4,720,720,1
AT,5,9,1,1,3,4,1,1,1,1,2,1,1,1,1,1,1,6,1,3,2,2,3,5,5,3,4,2,1,1,1,34,6,322,4,322,322,3
AT,5,7,2,3,3,5,5,3,4,55,5,3,2,4,3,2,2,6,4,2,4,4,6,4,7,5,4,2,4,3,2,63,5,322,5,322,322,3
AT,5,7,4,2,5,3,1,5,1,1,88,2,4,2,1,2,1,6,5,3,5,4,2,2,3,2,2,5,2,1,2,81,5,423,3,322,322,1
AT,5,10,5,1,5,1,1,5,1,1,1,3,4,1,2,2,1,6,5,5,10,5,0,10,0,88,1,4,1,1,2,67,66,322,4,113,113,1
AT,4,6,3,5,4,4,2,2,3,2,3,3,3,3,2,3,2,6,3,5,6,3,6,4,6,5,5,3,2,3,1,49,66,322,77,322,322,5
AT,1,9,3,8,2,2,3,5,3,2,2,1,1,1,1,1,1,6,3,4,10,3,2,10,6,7,7,2,1,2,2,60,5,212,88,212,212,3
AT,5,9,4,4,4,4,1,5,1,1,3,3,2,2,2,2,1,6,3,5,7,4,1,7,2,3,6,2,2,2,2,51,66,720,77,322,212,2
AT,3,9,5,6,5,4,1,5,2,2,2,2,3,3,2,3,2,6,3,4,8,3,3,6,4,5,5,2,2,2,1,49,66,322,9,212,212,2
AT,4,8,4,5,5,4,2,5,2,2,4,3,4,2,2,2,1,6,3,2,6,3,3,6,3,4,3,3,2,3,2,46,66,322,77,322,212,4
AT,1,0,1,0,5,5,1,5,1,1,2,1,1,1,2,2,2,6,1,88,0,1,5,0,0,5,0,8,8,8,2,85,5,212,1,212,212,2
AT,5,8,3,7,5,5,2,5,2,2,4,3,3,3,2,2,1,6,3,4,7,3,8,7,4,7,7,3,2,1,2,19,6,213,77,212,212,2
AT,5,9,5,9,3,5,4,3,4,5,4,3,4,5,4,3,4,4,6,66,66,6,66,66,66,66,66,3,1,1,1,68,66,322,88,322,322,3
AT,1,7,5,7,5,4,3,5,1,1,2,2,4,3,3,3,2,6,5,3,8,3,2,6,3,2,5,4,1,3,2,65,6,322,77,610,322,2
AT,5,10,4,8,2,3,2,5,1,1,1,2,3,2,2,2,2,6,2,4,5,1,5,88,88,88,2,3,2,2,2,38,66,322,7,212,610,2
AT,5,10,4,8,55,55,1,55,1,1,3,3,3,4,1,2,2,6,3,4,9,4,2,6,4,6,7,1,1,2,2,31,66,322,5,322,322,1
AT,5,7,4,3,4,4,2,5,1,1,2,4,4,2,2,2,1,6,5,4,9,4,3,8,5,4,8,3,1,1,2,25,6,423,7,212,313,2
AT,5,9,3,8,4,4,2,4,1,1,3,3,3,3,2,2,1,6,2,3,5,3,2,5,6,5,5,4,2,1,2,22,2,423,6,322,212,4
AT,4,6,3,88,5,4,2,5,3,2,4,3,8,2,2,2,1,6,3,4,88,4,2,6,88,88,88,3,2,2,2,39,66,322,77,322,322,4
AT,2,10,5,1,1,1,1,1,1,1,1,2,3,2,2,2,1,6,4,3,10,4,10,6,6,1,2,5,1,1,2,69,4,322,3,322,0,3
AT,5,7,5,6,4,3,1,5,1,1,3,3,4,3,2,3,2,6,5,3,6,4,7,7,3,3,5,1,1,1,1,44,66,322,3,322,212,2
AT,1,10,6,2,4,4,3,5,2,1,1,2,4,5,3,4,1,6,5,4,10,4,2,9,2,4,3,4,1,1,2,65,66,322,6,322,212,1
AT,5,10,4,9,5,2,1,5,1,1,1,2,2,2,2,1,1,6,4,3,10,3,2,5,5,4,7,5,1,1,2,48,6,322,9,322,322,1
AT,3,9,4,8,5,4,2,5,2,2,4,3,3,3,2,3,1,6,4,4,8,4,1,7,7,3,7,2,2,1,2,57,66,313,77,520,313,4
AT,1,10,4,7,5,4,2,5,2,2,1,3,4,3,3,3,1,6,4,3,8,4,3,5,7,3,5,2,1,1,2,57,4,212,2,212,113,2
AT,5,10,3,10,4,4,3,5,1,1,1,4,4,4,2,3,1,6,3,4,10,3,0,8,2,2,5,4,1,1,2,48,66,313,4,720,313,1
AT,4,7,3,5,5,5,2,5,2,2,3,3,3,2,2,2,1,6,3,4,6,3,0,4,5,5,6,3,2,1,2,45,6,322,77,8888,322,4
AT,1,9,5,2,2,4,2,5,2,2,1,3,2,3,2,2,1,6,5,5,1,5,0,2,2,1,0,3,1,1,1,74,1,322,3,322,212,1
AT,5,8,4,7,5,3,3,3,4,4,4,4,3,2,4,4,2,6,3,4,7,3,7,6,7,5,8,2,2,3,2,48,66,322,88,322,322,2
AT,1,8,4,6,55,55,1,1,1,1,1,2,1,3,1,1,4,2,6,66,66,6,66,66,66,66,66,3,3,1,1,65,66,322,5,212,113,2
AT,5,10,3,10,3,4,1,5,1,1,3,2,3,2,2,2,2,6,3,4,7,3,1,3,2,7,6,3,2,3,1,19,6,322,8,322,322,1
AT,5,8,5,7,4,3,1,4,1,1,1,3,3,5,3,4,2,6,5,4,9,3,8,9,8,8,8,2,4,4,2,40,66,322,88,322,322,3
AT,5,10,3,7,5,3,1,5,1,1,4,3,2,2,2,4,1,6,4,4,7,3,2,7,4,6,7,1,1,1,1,29,6,710,8,720,520,3
AT,5,10,4,2,4,3,2,5,1,1,2,3,3,2,3,2,1,6,4,3,5,2,5,2,2,2,0,4,1,4,2,48,66,313,6,212,212,3
AT,3,7,3,6,5,5,1,1,1,2,2,4,4,4,4,4,1,6,4,5,6,4,5,5,5,7,7,3,3,3,2,57,66,322,77,322,212,1
AT,1,9,5,9,2,2,2,3,3,3,2,1,1,1,2,1,2,6,1,1,7,1,8,8,5,7,7,1,1,1,1,54,4,322,77,212,212,2
AT,1,5,5,88,4,4,3,5,1,1,1,3,8,3,2,3,1,6,4,3,7,3,4,5,3,5,5,4,1,1,2,77,66,212,3,113,113,1
AT,5,9,3,5,5,4,1,5,1,1,2,3,3,3,2,2,2,6,3,4,3,3,3,5,2,3,5,2,2,1,1,34,66,322,6,322,322,3
AT,3,8,3,4,4,3,2,3,4,4,2,1,3,1,1,1,3,6,2,3,3,2,88,4,4,5,2,3,3,3,1,58,6,720,77,322,322,2
AT,3,4,6,3,4,3,1,5,1,1,3,2,2,2,2,2,1,6,4,2,9,3,2,10,4,6,8,3,1,8,2,64,4,322,2,322,212,1
AT,5,8,5,8,5,3,2,5,2,2,3,3,3,2,2,3,1,6,4,4,8,4,1,10,4,5,9,2,1,2,1,54,66,322,10,212,212,2
AT,5,9,4,8,4,4,1,5,1,1,1,2,3,2,3,3,1,6,5,4,5,3,0,8,0,0,6,2,2,2,1,26,6,620,2,322,212,2
AT,5,7,4,6,3,3,2,4,55,1,2,3,2,3,2,3,2,6,2,3,5,3,3,6,3,6,3,2,1,3,1,44,66,313,4,212,212,1
AT,1,10,5,2,3,4,3,5,1,3,1,4,3,3,3,1,1,6,5,5,8,5,0,5,5,3,6,3,1,2,2,53,4,212,1,212,212,1
AT,5,7,4,8,2,3,1,5,1,1,2,2,2,3,1,1,1,6,3,3,2,3,3,8,7,5,8,5,1,2,2,25,66,322,5,212,113,4
AT,5,10,4,8,5,3,2,5,1,1,1,1,2,2,2,2,1,6,5,5,10,5,0,9,8,8,9,1,1,1,2,55,6,313,6,720,313,1
AT,5,10,4,5,3,3,2,5,2,3,3,3,2,2,2,2,2,6,4,3,3,3,2,4,5,1,2,1,1,1,1,45,66,423,5,720,422,1
AT,1,3,2,2,2,1,3,2,2,2,3,3,2,1,1,1,2,6,2,2,6,2,6,5,7,7,8,2,1,1,1,75,66,113,4,0,0,3
AT,1,6,2,88,4,2,2,5,1,3,3,3,4,3,3,3,8,6,2,2,1,2,88,2,1,88,0,8,2,2,2,36,2,322,88,212,212,4
AT,5,9,4,8,4,4,3,4,3,3,3,4,4,3,3,2,2,6,2,4,6,3,4,7,8,5,6,2,2,3,1,48,66,212,2,113,0,2
AT,1,10,3,5,4,3,1,5,1,1,3,4,2,2,2,3,1,6,3,5,7,4,0,8,3,2,7,5,2,2,2,69,4,322,1,322,322,2
AT,5,8,4,8,5,4,1,5,2,2,3,2,3,1,1,1,3,6,3,5,5,3,8,7,7,1,3,2,1,2,1,47,66,322,6,322,212,2
AT,3,10,4,2,5,4,2,5,2,2,4,3,3,2,1,2,2,6,3,3,5,3,5,2,1,2,0,3,2,4,1,80,66,520,77,212,212,2
AT,1,5,2,2,88,88,88,88,1,88,88,3,3,1,1,1,4,3,6,66,66,6,66,66,66,66,66,4,2,3,1,71,66,322,77,212,212,1
AT,1,7,4,5,4,4,1,5,1,1,2,4,2,3,1,2,2,6,2,4,4,2,5,6,5,2,5,4,1,3,1,67,66,322,7,322,322,3
AT,2,10,5,5,4,4,1,5,1,2,1,2,2,3,1,3,2,6,3,4,7,3,4,2,3,2,3,3,2,3,2,55,66,322,77,113,113,2
AT,5,3,1,0,3,4,2,5,1,1,4,1,1,1,1,1,1,6,1,3,5,2,5,3,2,4,4,5,1,3,2,22,6,322,6,8888,0,1
AT,5,10,6,8,4,3,2,5,2,2,2,2,3,2,2,2,1,6,4,4,9,4,1,8,2,2,4,2,2,2,2,63,6,610,5,322,322,1
AT,4,9,3,5,3,3,1,5,4,5,4,3,3,2,2,2,3,6,2,55,66,6,66,66,66,66,66,5,4,4,1,44,66,520,77,322,212,2
AT,2,9,4,7,4,4,1,5,1,1,1,4,3,2,2,2,2,6,3,4,6,3,3,6,3,4,5,4,1,1,2,58,66,212,6,212,322,2
AT,5,4,3,9,5,2,3,5,1,2,4,3,2,2,1,3,2,6,2,4,7,2,4,6,1,6,7,4,2,2,2,52,66,720,10,423,322,4
AT,2,10,3,7,4,4,2,2,2,2,2,3,2,3,2,3,1,6,3,5,6,3,5,7,7,6,7,2,2,1,2,60,66,322,6,113,113,3
AT,2,5,3,7,2,2,2,2,2,2,2,3,3,3,3,3,2,6,3,2,5,3,3,4,3,2,2,2,2,2,1,58,4,322,4,213,322,2
AT,3,8,2,5,5,3,1,5,1,1,3,2,1,2,2,2,2,6,3,4,3,3,2,6,1,2,4,4,2,3,1,76,66,423,7,212,212,2
AT,5,7,4,6,2,3,3,5,1,2,3,3,3,3,2,1,1,6,4,4,8,5,3,7,5,5,4,2,2,3,1,20,6,423,88,610,610,2
AT,5,7,3,7,5,5,1,5,1,1,3,1,1,3,1,1,2,6,1,4,7,3,3,7,5,6,7,4,2,3,1,26,6,322,6,322,322,3
AT,2,7,5,7,5,3,1,5,1,1,88,3,4,3,3,3,1,6,3,3,6,3,5,4,3,88,5,3,1,4,2,59,66,212,6,212,212,2
AT,5,8,5,5,88,88,2,5,2,1,2,5,4,4,4,4,8,6,3,4,1,4,2,4,0,0,8,4,1,2,2,52,4,212,2,8888,212,1
AT,5,10,6,9,4,4,2,5,1,1,2,3,3,4,2,2,2,6,3,4,9,3,2,4,2,5,5,2,2,2,2,26,66,322,4,322,212,3
AT,1,5,2,5,5,4,1,5,2,3,3,2,4,2,1,2,2,6,3,4,5,3,3,3,5,7,4,3,1,2,1,65,5,322,3,322,322,2
AT,5,10,5,4,5,5,2,5,1,1,1,3,4,2,2,2,1,6,4,4,9,3,5,6,4,4,8,4,1,4,2,30,6,610,5,322,322,1
AT,1,5,4,5,3,4,3,5,1,2,2,3,2,3,8,3,1,6,3,3,7,3,4,5,4,4,5,4,1,1,2,74,1,213,3,113,113,2
AT,2,5,3,2,5,5,1,4,2,2,2,1,1,1,1,1,2,6,2,2,0,1,5,6,6,6,0,5,2,2,1,67,66,322,3,322,113,4
AT,1,7,4,2,5,3,1,5,5,4,4,3,2,4,4,4,2,6,3,2,0,2,88,2,2,2,3,5,4,2,1,74,66,322,6,212,212,2
AT,5,8,5,7,3,5,1,5,5,1,5,1,1,1,1,1,2,6,1,5,8,1,8,3,2,6,8,2,2,2,2,38,66,322,77,322,322,2
AT,5,7,3,7,5,5,1,5,2,1,3,3,2,2,2,2,1,6,3,4,4,4,1,7,7,3,5,3,2,1,2,24,66,212,77,212,212,3
AT,5,9,4,9,5,4,1,5,2,2,3,3,3,2,2,2,1,6,4,4,8,4,1,9,8,7,8,4,1,1,1,22,6,322,88,322,422,3
AT,5,10,5,9,4,4,2,5,1,1,3,3,3,2,2,2,2,6,5,3,10,4,3,6,8,3,8,2,1,1,1,58,66,322,7,322,212,1
AT,5,10,6,0,4,3,1,5,1,1,1,5,4,4,4,4,1,6,4,5,10,4,8,6,6,3,4,5,1,1,1,60,4,322,3,212,212,1
AT,1,0,4,3,5,4,2,5,2,2,4,3,3,2,2,2,1,6,5,4,2,4,0,8,1,1,2,3,1,3,1,61,66,5555,7,113,113,1
AT,1,5,2,2,4,4,2,5,2,2,2,3,2,2,2,2,1,6,3,5,0,2,4,3,3,2,5,5,3,3,1,68,66,322,4,212,212,7
AT,3,9,3,7,3,4,3,2,2,2,2,3,2,4,3,3,1,6,3,4,5,4,3,5,7,6,6,2,1,1,1,63,4,322,2,423,322,3
AT,1,5,3,10,5,4,1,5,1,1,1,2,3,3,3,4,1,6,5,3,8,4,1,1,7,8,9,5,2,5,1,56,4,423,7,0,113,2
AT,5,10,5,7,5,4,1,5,1,1,2,4,3,3,2,3,1,6,4,4,7,4,3,8,2,2,6,3,1,1,1,60,6,800,8,322,610,2
AT,5,9,5,8,3,4,2,5,2,2,2,4,5,2,2,2,1,6,5,1,0,1,10,0,0,0,0,4,1,2,2,24,6,423,4,313,322,1
AT,1,9,5,8,5,3,1,5,2,2,2,1,1,2,1,8,1,6,4,4,0,3,4,88,88,88,7,4,2,2,2,75,5,212,3,212,212,7
